video_id	video_title	video_description	video_thumbnail
xiztNcZRwy0	분리불안이 심한 반려견 교육｜반려견 기초 상식	유료광고포함 강형욱 훈련사님이 알려주는 분리불안 개선을 위한 5·10·7 법칙 시 인사의 정석! 분리불안 교육은 인내심을 가지고 ...	https://i.ytimg.com/vi/xiztNcZRwy0/hqdefault.jpg
r5_vEPUa2RE	말티즈 편 2부｜강형욱의 견종백과	견종마다 고유의 특성, 역사뿐만 아니라 현대사회로 오며 변화한 특성까지 리얼하게 들어볼 수 있는 강형욱 훈련사님과 보호자님들의 ...	https://i.ytimg.com/vi/r5_vEPUa2RE/hqdefault.jpg
bgUup3C-LdA	분리불안 교육, 미리 예방 가능하다!│강형욱의 멍스쿨 초보 보호자	유료광고포함 [Eng sub/日本語字幕] 퍼피부터 매일 함께 다니지만 내가 잠깐 안보이면 짖고 낑낑대는 우리 강아지 미리 분리불안을 ...	https://i.ytimg.com/vi/bgUup3C-LdA/hqdefault.jpg
--RH6FC_uXs	세요 친구도 없으니까..  | 견종백과 프렌치불독편	오늘 견종백과로 만나볼 친구는 프렌치 불독입니다! 특유의 뚱한 표정으로 보호자님들을 홀리고 볼링공처럼 통통 튀는 매력의 소유 ...	https://i.ytimg.com/vi/--RH6FC_uXs/hqdefault.jpg
x-PyGv9_CJ4	간이고 쓸개고 다 내줌ㅣ견종백과 골든 리트리버편	오늘 견종백과로 만나볼 친구는 골든 리트리버입니다!   보호자를 정말 좋아하지만 다른 사람들도 보호자 만큼 좋아하는 친구들 ...	https://i.ytimg.com/vi/x-PyGv9_CJ4/hqdefault.jpg
d9krnAQ5NUk	푸들 편 2부｜강형욱의 견종백과	강형욱 훈련사님과 보호자님의 생활 밀착형 견종 수다! '강형욱의 견종백과' 견종마다 고유의 특성, 역사뿐만 아니라 현대사회로 오며 ...	https://i.ytimg.com/vi/d9krnAQ5NUk/hqdefault.jpg
-v27YncVI8o	코카 스파니엘 미용&amp;건강 편(크고 통통한 귀)｜강형욱의 견종백과 X 이승인 누가 X 하늘이	[Eng sub/日本語字幕] 아메리칸 코카 스파니엘 VS 잉글리쉬 코카 스파니엘 둘 중 하나는 계속해서 털이 자라지 않는다? 미용을 할 ...	https://i.ytimg.com/vi/-v27YncVI8o/hqdefault.jpg
maok9_5RT10	강형욱 반려견 목욕 방법 최초공개	오늘은 우리 날라가 태어나서 처음으로 목욕을 했어요 근데 저도 같이하게 됐네요 *본 영상에는 비알머드 유료 광고가 포함되어 ...	https://i.ytimg.com/vi/maok9_5RT10/hqdefault.jpg
GGd0vETcRQA	코카 스파니엘 파괴력&amp;에너지 편(집안 살림 바사삭 주의)｜강형욱의 견종백과 X 이승인 누가 X 하늘이	[Eng sub/日本語字幕] 아메리칸 코카 스파니엘 누가 보호자님과 하늘이 보호자님이 견종백과를 찾아주셨어요 'ㅅ' 코카 스파니엘은 ...	https://i.ytimg.com/vi/GGd0vETcRQA/hqdefault.jpg
J-p955Needw	비 오는 날 마중 나온 목화 강아지 [퍼피교육]	견생 4개월 목화와 함께했습니다 교육 내용 1. 강아지 성격 테스트 강아지 머리 위로 손을 내리면 나오는 반응으로 알 수 있어요 ...	https://i.ytimg.com/vi/J-p955Needw/hqdefault.jpg
5bNgA9m069A	번식장에서 일어난 집단 아사 사건과 펫숍에 대하여 [수밤라이브 하이라이트]	이번 라이브에서는 '양평 번식장 1500마리 집단 방치사' 에 대해서 얘기했는데요 다음엔 무슨 주제로 하면 좋을까요? #강형욱 #강아지 ...	https://i.ytimg.com/vi/5bNgA9m069A/hqdefault.jpg
3IDqNZ3uSGY	강아지랑 몸무게 차이 별로 안 나는 주우재. 자랑하러 와서 눈물 흘리고 감; [강형욱의개스트쇼] EP.1	형욱에게 반려견 자랑하는 토크쇼 OPEN #강형욱 #주우재 #강아지 #주드로 #반려견 #토크쇼 Copyright c 2022 Studio Episode - All ...	https://i.ytimg.com/vi/3IDqNZ3uSGY/hqdefault.jpg
6BBnlc6fpAI	해외파 출신 강형욱, 숨겨왔던 영어회화 실력 공개 [부제 : 형욱의 꿈, 미국 훈련사가 될 거야]	미국 개통령. 딱 기다려. *이 영상은 SPEAK의 유료광고를 포함하고 있습니다. 강형욱의 보듬TV 구독자들을 위한 스픽의 특별 할인 ...	https://i.ytimg.com/vi/6BBnlc6fpAI/hqdefault.jpg
HHIQp-cMrro	강아지 자랑하러 왔다가 양말 벗겨진 호민쿤[강형욱의개스트쇼] EP.5	셔틀콕 갖고 노는 말년이 폼 미쳤다 #강형욱 #주호민 #침착맨 #강아지 #선이 #셔틀콕 #반려견 #토크쇼 Copyright c 2023 Studio ...	https://i.ytimg.com/vi/HHIQp-cMrro/hqdefault.jpg
9xmqNrpO8bE	흘리고 보호자는 놀아주느라 땀 한 바가지 흘리고ㅣ견종백과 시베리안 허스키편	오늘 견종백과로 만나볼 친구는 시베리안 허스키입니다!   정말 잘생긴 외모를 갖고 있지만 미친듯한 털 빠짐과 엄청난 활동량도 갖고 ...	https://i.ytimg.com/vi/9xmqNrpO8bE/hqdefault.jpg
NBT2QrulQp8	참기름 강아지 | 견종백과 닥스훈트편	오늘 견종백과로 만나볼 친구는 닥스훈트입니다! 핫도그 같이 생겼다고 왕 하고 먹어버리면 안됩니다. ‍♂️ 또 봐요   00:00 ...	https://i.ytimg.com/vi/NBT2QrulQp8/hqdefault.jpg
XkHgmgsuv5E	사모예드 털 편 (털빠짐, 목욕고충, 한국더위)｜강형욱의 견종백과 X 극한견주 솜이 X 백곰이	[Eng sub/日本語字幕] 웹툰 '극한견주'의 마일로 작가님과 솜이, 백곰이 보호자님이 견종백과를 찾아주셨어요 'ㅅ' 사모예드는 털 ...	https://i.ytimg.com/vi/XkHgmgsuv5E/hqdefault.jpg
Bj6w-w21QXQ	산책 시 보호자를 끌고 다니는 요미를 위한 교육｜반려견 기초 상식	유료광고포함 강형욱 훈련사님이 알려주는 요미를 위한 산책교육! 집 안에서는 반려견과 보호자의 신뢰감을 쌓을 수 있는 '집 안 산책' ...	https://i.ytimg.com/vi/Bj6w-w21QXQ/hqdefault.jpg
pc4lILwieUU	포메라니안 편 2부｜강형욱의 견종백과	강형욱 훈련사님과 보호자님의 생활 밀착형 견종 수다! '강형욱의 견종백과' 견종마다 고유의 특성, 역사뿐만 아니라 현대사회로 오며 ...	https://i.ytimg.com/vi/pc4lILwieUU/hqdefault.jpg
J5q34GwAoB8	시바 이누(시바견) 2부｜강형욱의 견종백과 X 시바견곰이탱이여우	곰이탱이여우와 함께하는 견종백과 시바 이누 편 1부의 마라톤을 마치고(?) 본격적으로 시작되는 2부;;; ※ 나의 믹스견은 어떤 견종 ...	https://i.ytimg.com/vi/J5q34GwAoB8/hqdefault.jpg
XCWs7u8EZKk	중성화할 결심 | 견종백과 강형욱편	참고로 범인 이름은 영상 내에 안 나왔습니다… Shout out to ​⁠@1theKOriginals 영상 내 번역 자막은 유튜브 번역 No.1, 자메이크 ...	https://i.ytimg.com/vi/XCWs7u8EZKk/hqdefault.jpg
-Y7s_tm7SBo	닥스훈트 편 2부｜강형욱의 견종백과	견종마다 고유의 특성, 역사뿐만 아니라 현대사회로 오며 변화한 특성까지 리얼하게 들어볼 수 있는 강형욱 훈련사님과 보호자님들의 ...	https://i.ytimg.com/vi/-Y7s_tm7SBo/hqdefault.jpg
7qNnevIKY7c	보호소에서 입양 시 제일 먼저 해야하는 교육 [집에가자] EP.6	유기견 센터에서 가족을 기다리고 있는 강아지에게 입양 전 필요한 교육을 하는 [집에 가자] 이번 화 주인공은 '카라 아름품'에 있는 ...	https://i.ytimg.com/vi/7qNnevIKY7c/hqdefault.jpg
